year,locationabbr,locationdesc,facilityname,city,clinic_status,topic,subtopic,data_value,clinicid,geolocation,year
2020,,Other,National,,Open,Clinic Services & Profile,Fertility preservation cycles,24120,"9,999",,2020
2020,TX,Texas,IVFMD-Arlington,Arlington,Open,Clinic Services & Profile,SART member,Yes,827,POINT (-97.1133526 32.6905651),2020
2020,,Other,National,,Open,Clinic Services & Profile,Gestational carrier services,90%,"9,999",,2020
2020,,National,National,,Open,Clinic Services & Profile,Verified lab accreditation - Yes,88%,"9,999",,2020
2020,,National,National,,Open,Clinic Services & Profile,Fertility preservation cycles,24120,"9,999",,2020
2020,NY,New York,Neway Medical,New York,Open,Clinic Services & Profile,Donated embryo services,No,619,POINT (-73.9761388 40.7825399),2020
2020,AK,Alaska,"Katie Ostrom MD, LLC",Homer,Open,Clinic Services & Profile,Verified lab accreditation,No,842,POINT (-151.2356 59.5374),2020
2020,NY,New York,CCRM New York,New York,Open,Clinic Services & Profile,Pregnancies,319,708,POINT (-73.9823263 40.7628107),2020
2020,,National,National,,Open,Clinic Services & Profile,Total cycles,326471,"9,999",,2020
2020,,Other,National,,Open,Clinic Services & Profile,Donor egg services,89%,"9,999",,2020
2020,NJ,New Jersey,Women's Fertility Center,Englewood,Open,Clinic Services & Profile,SART member,No,224,POINT (-73.9759738 40.8896804),2020
2020,UT,Utah,Utah Center for Reproductive Medicine,Salt Lake City,Open,Clinic Services & Profile,Deliveries,212,16,POINT (-111.82601 40.7551871),2020
2020,CO,Colorado,Rocky Mountain Center for Reproductive Medicine,Fort Collins,Open,Clinic Services & Profile,Egg cryopreservation services,No,110,POINT (-105.0585269 40.574467),2020
2020,TX,Texas,Family Fertility Center,Houston,Open,Clinic Services & Profile,Total infants born,103,451,POINT (-95.4027098 29.7082489),2020
2020,TX,Texas,"Fertility Specialists of Texas, PLLC",Frisco,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,480,POINT (-96.8371731 33.1056365),2020
2020,MS,Mississippi,"Mississippi Reproductive Medicine, PLLC",Flowood,Open,Clinic Services & Profile,Gestational carrier services,Yes,410,POINT (-90.1222775 32.3306239),2020
2020,AZ,Arizona,Arizona Center for Reproductive Endocrinology and Infertility,Tucson,Open,Clinic Services & Profile,Total infants born,81,160,POINT (-110.883046 32.2475028),2020
2020,CA,California,"Advanced Fertility Associates Medical Group, Inc.",Santa Rosa,Open,Clinic Services & Profile,Verified lab accreditation,Yes,481,POINT (-122.6999677 38.4420241),2020
2020,AZ,Arizona,Reproductive Health Center,Tucson,Open,Clinic Services & Profile,Donor egg services,Yes,378,POINT (-110.8964109 32.2645511),2020
2020,PA,Pennsylvania,Society Hill Reproductive Medicine,Philadelphia,Open,Clinic Services & Profile,Pregnancies,48,8,POINT (-75.1560763 39.9442703),2020
2020,CO,Colorado,CNY Fertility Colorado,Colorado Springs,Open,Clinic Services & Profile,Embryo cryopreservation services,Yes,153,POINT (-104.7891021 38.8282693),2020
2020,NC,North Carolina,"Atlantic Reproductive Medicine Specialists, PA",Raleigh,Open,Clinic Services & Profile,SART member,Yes,155,POINT (-78.8006067 35.9016436),2020
2020,LA,Louisiana,Audubon Fertility,New Orleans,Open,Clinic Services & Profile,Gestational carrier services,Yes,228,POINT (-90.1025188 29.937509),2020
