"Year","LocationAbbr","LocationDesc","FacilityName","MedicalDirector","Address","City","Zipcode","Phone","Clinic Status","Topic","SubTopic","Data_Value","ClinicId","TopicId","SubTopicId","Geolocation"
"2021","NA","National","National","None","None","None","None","None","Open","Clinic Services & Profile","SART member","80%","9,999","TOP01","ST14",
"2021","AL","Alabama","Alabama Fertility Specialists","Mamie R. McLean, MD","3490 Independence Dr","Birmingham","35209","(205) 874-0000","Open","Clinic Services & Profile","Donor egg services","Yes","325","TOP01","ST09","POINT (-86.7828 33.4709)"
"2021","NY","New York","Mor Fertility","Amir Mor, MD, PHD","245 Fifth Ave","New York","10016","(646) 504-1672","Open","Clinic Services & Profile","Pregnancies","5","873","TOP01","ST03","POINT (-73.9871 40.7444)"
"2021","VA","Virginia","Virginia Fertility & IVF","Christopher D. Williams, MD","4100 Olympia Cir, Suite 201","Charlottesville","22911","(434) 220-6620","Open","Clinic Services & Profile","Gestational carrier services","Yes","52","TOP01","ST13","POINT (-78.4399 38.0228)"
"2021","CA","California","Lane Fertility Institute","Danielle E. Lane, MD","101 Rowland Way, Suite 305","Novato","94945","(415) 893-0391","Open","Clinic Services & Profile","Deliveries","23","200","TOP01","ST04","POINT (-122.56 38.0973)"
"2021","MA","Massachusetts","Boston IVF, LLC","Michael M. Alper, MD","130 Second Ave","Waltham","02451","(781) 434-6500","Open","Clinic Services & Profile","Total cycles","8522","490","TOP01","ST01","POINT (-71.2638 42.3928)"
"2021","CA","California","Bay IVF Center","Francis Polansky, MD","1681 El Camino Real","Palo Alto","94306","(650) 322-0500","Open","Clinic Services & Profile","Total cycles","238","423","TOP01","ST01","POINT (-122.152 37.4307)"
"2021","FL","Florida","Polcz Fertility Center","Tibor E. Polcz, MD","9868 S. State Rd 7, Suite 320","Boynton Beach","33472","(561) 736-6006","Open","Clinic Services & Profile","Deliveries","9","257","TOP01","ST04","POINT (-80.1987 26.541)"
"2021","CT","Connecticut","New England Fertility Institute","Gad Lavy, MD","1275 Summer St, Suite 201","Stamford","06905","(203) 325-3200","Open","Clinic Services & Profile","SART member","Yes","315","TOP01","ST14","POINT (-73.5415 41.062)"
"2021","NY","New York","The New York Fertility Center","Tony Tsai, MD","42-31 Colden St, Suite 202","Flushing","11355","(718) 261-9068","Open","Clinic Services & Profile","Donated embryo services","No","113","TOP01","ST10","POINT (-73.8262 40.7539)"
"2021","TX","Texas","ReproMed Fertility Center","Anil B. Pinto, MD","3800 San Jacinto St","Dallas","75204","(214) 827-8777","Open","Clinic Services & Profile","Donor egg services","Yes","24","TOP01","ST09","POINT (-96.785 32.7972)"
"2021","LA","Louisiana","Audubon Fertility","Lindsay Wells, MD","4321 Magnolia St","New Orleans","70115","(504) 891-1390","Open","Clinic Services & Profile","Pregnancies","144","228","TOP01","ST03","POINT (-90.1025 29.9375)"
"2021","NY","New York","CNY Fertility Center","Robert J. Kiltz, MD","195 Intrepid Ln","Syracuse","13205","(315) 469-8700","Open","Clinic Services & Profile","SART member","Yes","377","TOP01","ST14","POINT (-76.1264 43.0023)"
"2021","CA","California","HRC Fertility-Pasadena","John G. Wilcox, MD","55 S. Lake Ave, 9th Floor","Pasadena","91101","(626) 440-9161","Open","Clinic Services & Profile","Deliveries","1302","477","TOP01","ST04","POINT (-118.133 34.1449)"
"2021","TX","Texas","The Heard Institute","Michael J. Heard, MD","2647 Cordes Dr","Sugar Land","77479","(713) 771-9771","Closed","Clinic Services & Profile","Gestational carrier services","Yes","232","TOP01","ST13","POINT (-95.6165 29.592)"
"2021","FL","Florida","The IVF Center","Mark P. Trolice, MD","5901 Brick Ct","Winter Park","32792","(407) 672-1106","Open","Clinic Services & Profile","Total cycles","450","295","TOP01","ST01","POINT (-81.2757 28.6119)"
"2021","UT","Utah","Reproductive Care Center","Keith L. Blauer, MD","10150 Petunia Way","Sandy","84092","(801) 878-8888","Reorganized","Clinic Services & Profile","Total infants born","191","79","TOP01","ST05","POINT (-111.851 40.5668)"
"2021","IL","Illinois","Rinehart Fertility Center, SC","John S. Rinehart, MD, PHD","121 N. Elm St","Hinsdale","60521","(630) 366-5100","Open","Clinic Services & Profile","SART member","Yes","848","TOP01","ST14","POINT (-87.9287 41.8001)"
"2021","CA","California","Kindbody-San Francisco","Nastaran Foyouzi, MD","88 Sutter St","San Francisco","94104","(628) 777-7064","Open","Clinic Services & Profile","Fertility preservation cycles","244","829","TOP01","ST02","POINT (-122.402 37.7902)"
"2021","FL","Florida","The Reproductive Medicine Group","Timothy R. Yeko, MD","5245 E. Fletcher Ave, Suite 1","Tampa","33617","(813) 676-8844","Open","Clinic Services & Profile","Total cycles","1394","267","TOP01","ST01","POINT (-82.3963 28.0686)"
"2021","IL","Illinois","Rinehart Fertility Center, SC","John S. Rinehart, MD, PHD","121 N. Elm St","Hinsdale","60521","(630) 366-5100","Open","Clinic Services & Profile","Deliveries","61","848","TOP01","ST04","POINT (-87.9287 41.8001)"
