"Year","LocationAbbr","LocationDesc","FacilityName","MedicalDirector","Address","City","Zipcode","Phone","Clinic Status","Topic","SubTopic","Data_Value","ClinicId","TopicId","SubTopicId","Geolocation"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Total cycles","1585","1","TOP01","ST01","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Fertility preservation cycles","186","1","TOP01","ST02","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Pregnancies","299","1","TOP01","ST03","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Deliveries","242","1","TOP01","ST04","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Total infants born","249","1","TOP01","ST05","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Donor egg services","Yes","1","TOP01","ST09","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Donated embryo services","Yes","1","TOP01","ST10","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Embryo cryopreservation services","Yes","1","TOP01","ST11","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Egg cryopreservation services","Yes","1","TOP01","ST12","POINT (-87.639 41.8945)"
"2022","IL","Illinois","Institute for Human Reproduction (IHR)","David P. Cohen, MD","680 N. Lake Shore Dr, Suite 117","Chicago","60611","(312) 288-6420","Open","Clinic Services & Profile","Gestational carrier services","Yes","1","TOP01","ST13","POINT (-87.639 41.8945)"
